Phone Title,Screensize,resolution,FrontCam,OS,StorageMB,RAM,Battery mAh,Type,Specs Score,Likes
Samsung Galaxy A71 8GB128GB,6.7, 1080 x 2400 pixels,32,OS:Android 10.0; One UI 2,128,8,4500, Li-Po,100%,90
Samsung Galaxy A90 5G 8GB128GB,6.7, 1080 x 2400 pixels,32,OS:Android 9.0 Pie; One UI,128,8,4500, Li-Po,100%,50
Samsung Galaxy A70s 8GB128GB,6.7, 1080 x 2400 pixels,32,OS:Android 9.0 Pie; One UI,128,8,4500, Li-Po,100%,54
Samsung Galaxy Note 10 8GB256GB,6.3, 1080 x 2280 pixels,10,OS:Android 9.0 Pie; One UI,256,8,3500, Li-Ion,81%,31
Samsung Galaxy A80,6.7, 1080 x 2400 pixels,8,OS:Android 8.0 Oreo; Go Edition,128,8,3700, Li-Po,97%,72
Samsung Galaxy Note 20 Ultra 8GB512GB,6.9, 1440 x 3088 pixels,10,OS:Android 10; One UI 2.1,512,8,4500, Li-Ion,100%,9
Samsung Galaxy Note 20 Ultra 8GB256GB,6.9, 1440 x 3088 pixels,10,OS:Android 10; One UI 2.1,256,8,4500, Li-Ion,100%,22
Samsung Galaxy Note 20 8GB256GB,6.7, 1080 x 2400 pixels,10,OS:Android 10; One UI 2.1,256,8,4300, Li-Ion,83%,10
Samsung Galaxy M31s 8GB128GB,6.5, 1080 x 2400 pixels,32,OS:Android 10.0; One UI 2.0,128,8,6000, Li-Po,100%,31
Samsung Galaxy Z Flip 5G 8GB256GB,6.7, 1080 x 2636 pixels,10,OS:Android 10.0; One UI 2,256,8,3300, Li-Po,83%,10
Samsung Galaxy A Quantum 8GB128GB,6.7, 1080 x 2400 pixels,32,OS:Android 10.0; One UI 2,128,8,4500, Li-Po,100%,29
Samsung Galaxy A71 5G 8GB128GB,6.7, 1080 x 2400 pixels,32,OS:Android 10.0; One UI 2,128,8,4500, Li-Po,100%,19
Samsung Galaxy A51 5G 8GB128GB,6.5, 1080 x 2400 pixels,32,OS:Android 10.0; One UI 2,128,8,4500, Li-Po,100%,39
Samsung Galaxy S10 S10 Plus 512GB 8GB,6.4, 1440 x 3040 pixels,10, DualOS:Android 9.0 Pie,512,8,4100, Li-Ion,99%,26
Samsung Galaxy S10e 256GB 8GB,5.8, 1080 x 2280 pixels,10,OS:Android 9.0 Pie,256,8,3100, Li-Ion,80%,12
Samsung Galaxy S10 512GB 8GB,6.1, 1440 x 3040 pixels,10,OS:Android 9.0 Pie,512,8,3400, Li-Ion,97%,17
Samsung Galaxy S10 5G,6.7, 1440 x 3040 pixels,10,OS:Android 9.0 Pie,256,8,4500, Li-Ion,86%,24
Samsung Galaxy S10 128GB 8GB,6.1, 1440 x 3040 pixels,10,OS:Android 9.0 Pie,128,8,3400, Li-Ion,76%,70
Samsung Galaxy Note 9 512GB,6.4, 1440 x 2960 pixels,8,OS:Android 8.1 Oreo,512,8,4000, Li-Ion,99%,28
