REGION,COUNTRY,PNET ID,Partner Tier,GSI (Y/N),High Touch (Y/N),Veritas Partners,Stakeholder type,"Areas of Support
",Activity type,"Activity 
Date
DD/MM/YYYY",Notes category,Notes (free text)
North Asia,Japan,42402,Distribution Partner,No,Y,DAIWABO INFORMATION SYSTEM CO LTD,Veritas regional team,VPDF Planning,Call/Chat Messaging,3/9/2021,General,Requested PSM to share the catalog with me
North Asia,Japan,67258,Gold,No,N,NETONESYSTEMS CO LTD,Veritas regional team,VPDF Planning,Call/Chat Messaging,3/9/2021,General,Requested PSM to provide me further details. ( do they have specific eDM? )
North Asia,Japan,67263,Platinum,No,Y,Itochu Techno-Solutions Corporation,Veritas regional team,VPDF Planning,Emails,3/9/2021,General,Confirmed the campaign details with Ito san. Itosan requested to have a call with Kijima san (Veritas SE) as he is leading this campaign with CTC.
North Asia,0,0,0,0,N,Veritas JPN,Veritas regional team,Non Marketing,Webex/MS Teams,3/9/2021,General,"Discussed on Blitz and VPDF Q4 status with Japan Channels sales - reseller team
- Blitz will be run by parnter. Aiming at sometime between 21-30th Sep.
- 2 partners on-board ( CTC, HPE) 1partner pending(TDSL) 2 partners rejected
- ""Incentive to individuals"" is not matching with standard Japanese comapnies,
Agreed on;
- provide ORR guide wil be attached in the campaign so that partners to take ORR registration part
- Yuki to register on behalf of CTC> this offer will be last support from bChannels on registration service. 
- all PSM will give me updates on Q4 plans by next Wednesday (8th Sep)"
North Asia,Japan,43094,Platinum,Yes,Y,HPE - Japan,Veritas regional team,VPDF Planning,Call/Chat Messaging,1/9/2021,General,"Discussed on HPE's plan - PSM seeked guidance on "" Incentives"" .  Briefed him SPIFF and the guideline on novel goods production "
North Asia,Japan,67263,Platinum,No,Y,Itochu Techno-Solutions Corporation,Veritas regional team,VPDF Planning,Emails,5/9/2021,General,The call scheduled on 6th Sep with Kijima san and Tsubaki san
North Asia,0,0,0,0,N,Veritas JPN,Veritas APJ,VPDF Planning,Emails,5/9/2021,General,Sent an update on Q1 planning status.  Collectingfurther info from PSM and DSM to answer Kisung's questions.
North Asia,0,0,0,0,N,Veritas JPN,Veritas regional team,VPDF Planning,Emails,6/9/2021,General,"Discussed on eDM. Advised them to chenge the contents as the attached CMT code-tagging guidance was for internal use. 
Explained to Bae san & Sano san how to tag CMT code from partnernet. The step guide has been shared with them."
North Asia,Japan,67263,Platinum,No,Y,Itochu Techno-Solutions Corporation,Partner,PRM related activities,Emails,7/9/2021,Escalations,System error report received from Partner. She can't edit the request amount from their end. Translated the inquiries to English.
North Asia,Japan,67263,Platinum,No,Y,Itochu Techno-Solutions Corporation,Veritas Channel Ops,PRM related activities,Call/Chat Messaging,7/9/2021,Escalations,Raised the issue to Cherise. Cherise over-wrote from her end. 
North Asia,Japan,67263,Platinum,No,Y,Itochu Techno-Solutions Corporation,Partner,PRM related activities,Emails,7/9/2021,Escalations,Informed partner the issue is solved. They raised they can't resubmit neither transalted the feedback to English.
North Asia,Japan,67263,Platinum,No,Y,Itochu Techno-Solutions Corporation,Veritas Channel Ops,PRM related activities,Call/Chat Messaging,7/9/2021,Escalations,Screenshot was shared. There was no issue. The user name is shared to Cherise to check the user settings.
North Asia,Japan,67263,Platinum,No,Y,Itochu Techno-Solutions Corporation,Veritas Channel Ops,PRM related activities,Call/Chat Messaging,9/9/2021,Escalations,Followed up Cherise on the update.  The settings was correct. Write a note to Cherise so that she can escalate it to IT
North Asia,Japan,67263,Platinum,No,Y,Itochu Techno-Solutions Corporation,Partner,PRM related activities,Emails,9/9/2021,Escalations,Advised partner that it has been raised as IT issue. IT team will work on it.
North Asia,Japan,27946,Distribution Partner,No,Y,NETWORLD CORP,Veritas regional team,VPDF Planning,Call/Chat Messaging,8/9/2021,General,Received the reach-out plan for Sales Play promotion. The contents translated to English.
North Asia,Japan,42402,Distribution Partner,No,Y,DAIWABO INFORMATION SYSTEM CO LTD,Veritas regional team,VPDF Planning,Call/Chat Messaging,8/9/2021,General,Confrimed the looks of Catalog by image files.
North Asia,Japan,67263,Platinum,No,Y,Itochu Techno-Solutions Corporation,Veritas regional team,VPDF Planning,Call/Chat Messaging,8/9/2021,General,"VPDF Discussion - Confrimed the details on IT media campaign (50 MQL / lead gen with article / target: Enterprise and public sector.)
Kijima san is working with  CTC west - Infra group closely.  This group is aiming to promote ""DX"" with mixed Vendors. Veritas is one of choice for them. Last year Veritas provide lots of infromation to support their brand(solution) building.  Since it's ready they want to launch DX lead gen campaign with Veriats. ( the challenge is they work with Veritas' cometitior- ex.NetApp having a webinars with them)
Apart from VPDF, they have 2 Activities plans; 1) Blitz  2) PureStorage+Veritas campaign - this may not require match assets creation?
"
North Asia,0,0,0,0,N,Veritas KOR,Veritas regional team,VPDF Planning,Emails,8/9/2021,General,Received feedback from Kisung on 22Q1 funds
North Asia,0,0,0,0,N,Veritas JPN,Veritas APJ,VPDF Planning,Emails,8/9/2021,General,22Q1 plan has been submitted to Alice and Cherise
North Asia,Japan,43094,Platinum,Yes,Y,HPE - Japan,Veritas regional team,VPDF Planning,Call/Chat Messaging,8/9/2021,General,Confrimed Q4 plan is happening. They may want to increase budget if there are left over.
North Asia,Japan,67263,Platinum,No,Y,Itochu Techno-Solutions Corporation,Veritas regional team,ORR Support,Emails,9/9/2021,General,Confrimed PSM - 1 Deal ID needs to be tagged. Action taken.
North Asia,Japan,67263,Platinum,No,Y,Itochu Techno-Solutions Corporation,Partner,PRM related activities,Emails,9/9/2021,Escalations,Received escalation on System error - Claim ID 510472.  Requested them to send the screenshot
North Asia,Japan,67263,Platinum,No,Y,Itochu Techno-Solutions Corporation,Veritas Channel Ops,PRM related activities,Emails,9/9/2021,Escalations,Escalated to Cherise. Confrimed it is IT error. Partner will have execption to submit clain once the error fixed.
North Asia,Japan,67263,Platinum,No,Y,Itochu Techno-Solutions Corporation,IT team,PRM related activities,Emails,9/9/2021,Escalations,Sent a note to IT team to fix the issue.
North Asia,Japan,67263,Platinum,No,Y,Itochu Techno-Solutions Corporation,Partner,PRM related activities,Emails,9/9/2021,General,Advised the partner that their case is now send to IT team. they can submit a claim once the error fixed.
North Asia,0,0,0,0,N,Veritas JPN,Veritas regional team,Non Marketing,Emails,10/9/2021,General,Sent a note to Itosan to see if they need our support for BE Technical bootcamp 
North Asia,Japan,67258,Gold,No,N,NETONESYSTEMS CO LTD,Veritas regional team,VPDF Planning,Call/Chat Messaging,10/9/2021,General,PSM requested to have a call.  Discussed on VPDF Q4 plan. Captured the plan update and partner insights ( NOS)
HQ,0,0,0,0,N,Veritas APJ,Veritas regional team,Non Marketing,Emails,15/9/2021,General,Informed Alice that the day for BE technial boot camp is public holiday in Japan. It's not appropriate for them to send the invite to partners.
North Asia,0,0,0,0,N,Veritas JPN,Veritas regional team,Non Marketing,Webex/MS Teams,15/9/2021,General,"Bi weekly catch up with Itosan
- VPDFand ORR Status shared.  15K + 20K will be used by CTC.  Itosan will meet CTC on 16th.
- Blitz status.  TDSL&HPE starts from 21st - 30th. CTC starts from 25th.
Agreed on having a catch up call on 16th."
North Asia,Japan,67263,Platinum,No,Y,Itochu Techno-Solutions Corporation,Veritas regional team,VPDF Planning,Webex/MS Teams,16/9/2021,General,"CTC marketing plan update and discussion.
- Purestorage x Vertias ORR promotion minimum 5K confirmed. 
- Demo machine purchase is impossible due to their accounting perspective. ( see the insights tab)
Agreed on ;
Yuki to send a inquiry to APJ on SB purchase demo-machine onbehalf."
North Asia,Japan,67263,Platinum,No,Y,Itochu Techno-Solutions Corporation,Veritas regional team,VPDF Planning,Call/Chat Messaging,16/9/2021,General,"Follow up conversation on the inquiry to APJ. Confirmed CTC not going to buy demo machine, so Japan will release 20K from reseller fund.
Clarified Ito san that DDF bucket and VPDF bucket are separate. We can't transfer funds in between.
Japanese Distributors can only accepts VPDF if the campaign is focused to the VPDF requester. Their accont team will now allow them to use VPDF to run campgin for autorised resellers. 
Therefore, the converstaion ended up no action required for CTC. 
"
North Asia,Japan,67263,Platinum,No,Y,Itochu Techno-Solutions Corporation,IT team,PRM related activities,Emails,16/9/2021,General,Received a note from Cherise  - IT error is fixed and it should be available for CTC to re-submit. Translated the content
North Asia,Japan,67263,Platinum,No,Y,Itochu Techno-Solutions Corporation,Partner,PRM related activities,Emails,16/9/2021,General,Informed partner that the issue is fixed.  Advised them to clear cache and re-submit the Claim request.
North Asia,0,0,0,0,N,Veritas JPN,Veritas APJ,Non Marketing,Emails,17/9/2021,General,BYS - support. Requested Ayakosan to provide us Zoom link. 
North Asia,0,0,0,0,N,Veritas JPN,Veritas APJ,Non Marketing,Emails,17/9/2021,General,BYS - support. Zoom link is obtained and shared with Dana.
North Asia,0,0,0,0,N,Veritas JPN,Veritas APJ,Non Marketing,Emails,17/9/2021,General,BYS - support. Requested Ayakosan to create registration page. Confrimed that she is not able to do. 
North Asia,0,0,0,0,N,Veritas JPN,Veritas APJ,Non Marketing,Call/Chat Messaging,15/9/2021,General,BYS - support. Confirmed with Tsubaki san that they need our support for BYS and the panelist and the agenda will be ready in the beginning of Oct.
North Asia,0,0,0,0,N,Veritas JPN,Veritas APJ,Non Marketing,Call/Chat Messaging,22/9/2021,General,BYS - support. Confrimed the attendee's list with Tsubaki san
North Asia,Japan,43094,Platinum,Yes,Y,HPE - Japan,Partner,PRM related activities,Emails,21/9/2021,General,Activity ID414007 reviewed and returend. Sent a note to partner to take action accordingly.
North Asia,Japan,43094,Platinum,Yes,Y,HPE - Japan,Partner,PRM related activities,Emails,24/9/2021,General,Received inquiry from partner on Activity ID414007. Reviewed in the system and approved.
North Asia,Japan,67263,Platinum,No,Y,Itochu Techno-Solutions Corporation,Veritas regional team,ORR Support,Emails,21/9/2021,General,Sales pipeline report reviewed and identified 3 possible deals for CTC. Confirmed Ito san and back-tagged.
HQ,0,0,0,0,N,Veritas APJ,Veritas regional team,Non Marketing,Emails,22/9/2021,General,BYS - support. Requested Kisung to review the email template. Tsubaki san was copied in CC.
North Asia,0,0,0,0,N,Veritas JPN,Veritas APJ,Non Marketing,Emails,22/9/2021,General,Sent a Q4 plan update to Alice and Cherise.
North Asia,Japan,67263,Platinum,No,Y,Itochu Techno-Solutions Corporation,Veritas Channel Ops,VPDF Planning,Emails,23/9/2021,General,Received question from Cherise on Japan Q4 plan changed. Created a chat group for reseller PSMs. Ask question to Ito san
North Asia,Japan,43094,Platinum,Yes,Y,HPE - Japan,Veritas Channel Ops,VPDF Planning,Emails,23/9/2021,General,Received question from Cherise on Japan Q4 plan changed. Ask questions to Sanosan
North Asia,Japan,67258,Gold,No,N,NETONESYSTEMS CO LTD,Veritas Channel Ops,VPDF Planning,Emails,23/9/2021,General,Received question from Cherise on Japan Q4 plan changed. Ask questions to Komoto san
North Asia,0,0,0,0,N,Veritas JPN,Veritas regional team,Non Marketing,Emails,22/9/2021,General,BYS - support. Requested Kisung to review the email template. Tsubaki san gave us feedbacks. I shared with Dana.
North Asia,0,0,0,0,N,Veritas JPN,Veritas APJ,Non Marketing,Webex/MS Teams,16/9/2021,General,Attended on JMP call with Alice. Alice to provide briefing.
North Asia,Japan,67258,Gold,No,N,NETONESYSTEMS CO LTD,Veritas regional team,VPDF Planning,Emails,24/9/2021,General,Received update on Q4 plan from PSM. Reviewed the plan.
North Asia,Japan,67258,Gold,No,N,NETONESYSTEMS CO LTD,Veritas regional team,VPDF Planning,Emails,27/9/2021,General,Send a note to PSM to find out the reason of the cancelration and the target audience of new plan and the schedule.
HQ,0,0,0,0,N,Veritas APJ,Veritas regional team,VPDF Planning,Emails,27/9/2021,General,Q4 Japan update - NOS is shared with Alice and Cherise.
North Asia,Japan,44205,Distribution Partner,No,Y,SB C&S Corp.,Veritas regional team,PRM related activities,Emails,27/9/2021,General,Inquiry received from DSM on Credit-memo issue date. - VPDF Claim 511110. Answered him out of SOW.
North Asia,Japan,67258,Gold,No,N,NETONESYSTEMS CO LTD,Veritas regional team,VPDF Planning,Emails,27/9/2021,General,call request received from PSM. Scheduled a call 28th.
